product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume, comp_1 ,ps1, fp1 , comp_2 ,ps2, fp2 , comp_3 ,ps3, fp3 , lag_price 
garden5,garden_tools,"Friday, January 6, 2017",8.00,$712.00,$40.80,$89.00,36,450,1,9000,4.1,26,22,8,1,6,2017,7.62,19656, $59.90 ,4.1, $17.67 , $59.90 ,4.2, $16.26 , $89.00 ,4.1, $40.80 , $97.59 
garden5,garden_tools,"Saturday, January 7, 2017",10.00,$890.00,$39.16,$89.00,36,450,1,9000,4.1,74,21,10,1,7,2017,9.52,19656, $59.90 ,4.1, $16.63 , $59.90 ,4.2, $16.11 , $59.90 ,4.1, $15.39 , $89.00 
garden5,garden_tools,"Sunday, January 8, 2017",7.00,$683.00,$39.50,$97.33,36,450,1,9000,4.1,113,23,8,1,8,2017,6.67,19656, $59.90 ,4.1, $18.16 , $59.90 ,4.2, $17.68 , $59.90 ,4.1, $18.05 , $89.00 
garden5,garden_tools,"Monday, January 9, 2017",9.00,$891.00,$39.02,$99.00,36,450,1,9000,4.1,115,21,9,1,9,2017,8.57,19656, $59.90 ,4.1, $17.19 , $59.90 ,4.2, $16.81 , $59.90 ,4.1, $16.29 , $97.33 
garden5,garden_tools,"Tuesday, January 10, 2017",14.00,"$1,386.00",$45.78,$99.00,36,450,1,9000,4.1,146,22,9,2,10,2017,13.33,19656, $59.90 ,4.1, $18.07 , $59.90 ,4.2, $17.60 , $59.90 ,4.1, $16.81 , $99.00 
garden5,garden_tools,"Wednesday, January 11, 2017",17.00,"$1,683.00",$32.86,$99.00,36,450,1,9000,4.1,339,22,8,4,11,2017,16.19,19656, $52.41 ,4.1, $17.07 , $53.65 ,4.2, $16.08 , $53.79 ,4.1, $18.28 , $99.00 
garden5,garden_tools,"Thursday, January 12, 2017",11.00,"$1,089.00",$38.06,$99.00,36,450,1,9000,4.1,184,21,10,1,12,2017,10.48,19656, $55.10 ,4.1, $15.76 , $55.43 ,4.2, $19.18 , $55.75 ,4.1, $17.27 , $99.00 
garden5,garden_tools,"Monday, January 1, 2018",4.00,$398.00,$41.54,$99.50,36,450,1,9000,4.1,137,23,8,2,1,2018,50.00,19656, $49.90 ,4.1, $19.50 , $49.90 ,4.2, $15.84 , $49.90 ,4.1, $16.51 , $99.00 
garden5,garden_tools,"Tuesday, January 2, 2018",2.00,$202.00,$43.56,$101.00,36,450,1,9000,4.1,160,20,8,2,2,2018,25.00,19656, $50.55 ,4.1, $16.61 , $50.90 ,4.2, $17.52 , $50.36 ,4.1, $18.28 , $99.50 
garden5,garden_tools,"Wednesday, January 3, 2018",1.00,$101.00,$67.02,$101.00,36,450,1,9000,4.1,116,22,9,1,3,2018,9.11,19656, $53.90 ,4.1, $20.36 , $53.90 ,4.2, $21.85 , $53.90 ,4.1, $19.02 , $101.00 
garden5,garden_tools,"Thursday, January 4, 2018",1.00,$101.00,$79.76,$101.00,36,450,1,9000,4.1,111,21,9,1,4,2018,7.68,19656, $53.90 ,4.1, $5.28 , $53.90 ,4.2, $19.47 , $53.90 ,4.1, $19.07 , $101.00 
consoles1,consoles_games,"Saturday, January 7, 2017",13.00,$258.70,$13.47,$19.90,49,100,4,150,4.2,13,21,10,1,7,2017,7.59,2304, $19.90 ,4.2, $13.47 , $19.90 ,3.9, $11.85 , $19.90 ,4.2, $13.47 , $19.85 
consoles1,consoles_games,"Sunday, January 8, 2017",24.00,$477.60,$16.16,$19.90,49,100,4,150,4.2,33,23,8,1,8,2017,20.34,2304, $19.90 ,4.2, $16.16 , $19.90 ,3.9, $15.83 , $19.90 ,4.2, $16.16 , $19.90 
consoles1,consoles_games,"Monday, January 9, 2017",9.00,$179.10,$16.13,$19.90,49,100,4,150,4.2,17,21,9,1,9,2017,7.63,2304, $19.90 ,4.2, $16.13 , $19.90 ,3.9, $15.41 , $19.90 ,4.2, $16.13 , $19.90 
consoles1,consoles_games,"Tuesday, January 10, 2017",28.00,$603.20,$13.53,$21.54,49,100,4,150,4.2,38,22,9,2,10,2017,23.73,2304, $21.54 ,4.2, $13.53 , $20.67 ,3.9, $12.80 , $21.54 ,4.2, $13.53 , $19.90 
consoles1,consoles_games,"Wednesday, January 11, 2017",28.00,$686.00,$13.65,$24.50,49,100,4,150,4.2,49,22,8,4,11,2017,23.73,2304, $24.50 ,4.2, $13.65 , $24.50 ,3.9, $13.65 , $24.50 ,4.2, $13.65 , $21.54 
consoles1,consoles_games,"Thursday, January 12, 2017",16.00,$392.00,$12.87,$24.50,49,100,4,150,4.2,30,21,10,1,12,2017,13.56,2304, $24.50 ,4.2, $12.87 , $24.50 ,3.9, $13.52 , $24.50 ,4.2, $12.87 , $24.50 
consoles1,consoles_games,"Tuesday, January 2, 2018",5.00,$162.50,$15.26,$32.50,49,100,4,150,4.2,6,20,8,2,2,2018,20.83,2304, $32.50 ,4.2, $15.26 , $32.50 ,3.9, $11.85 , $32.50 ,4.2, $15.26 , $32.45 
consoles1,consoles_games,"Wednesday, January 3, 2018",6.00,$195.00,$18.06,$32.50,49,100,4,150,4.2,13,22,9,1,3,2018,25.00,2304, $32.50 ,4.2, $18.06 , $32.74 ,3.9, $14.03 , $32.50 ,4.2, $18.06 , $32.50 
consoles1,consoles_games,"Thursday, January 4, 2018",7.00,$245.40,$12.99,$35.06,49,100,4,150,4.2,13,21,9,1,4,2018,29.17,2304, $35.06 ,4.2, $12.99 , $34.20 ,3.9, $15.02 , $35.06 ,4.2, $12.99 , $32.50 
consoles1,consoles_games,"Friday, January 5, 2018",3.00,$108.60,$15.87,$36.20,49,100,4,150,4.2,3,23,8,3,5,2018,12.50,2304, $36.20 ,4.2, $15.87 , $36.20 ,4.2, $15.87 , $36.20 ,4.2, $15.87 , $35.06 
consoles1,consoles_games,"Saturday, January 6, 2018",2.00,$72.40,$18.35,$36.20,49,100,4,150,4.2,2,21,9,0,6,2018,8.33,2304, $36.20 ,4.2, $18.35 , $36.20 ,4.2, $18.35 , $36.20 ,4.2, $18.35 , $36.20 
consoles1,consoles_games,"Sunday, January 7, 2018",1.00,$36.20,$22.18,$36.20,49,100,4,150,4.2,1,22,9,1,7,2018,7.59,2304, $36.20 ,4.2, $22.18 , $36.20 ,4.2, $22.18 , $36.20 ,4.2, $22.18 , $36.20 
garden7,garden_tools,"Wednesday, January 4, 2017",1.00,$59.90,$17.16,$59.90,57,339,2,1800,4.2,17,20,10,2,4,2017,7.88,32560, $59.90 ,4.2, $17.16 , $59.90 ,4.2, $17.16 , $59.90 ,4.2, $17.16 , $59.85 
garden7,garden_tools,"Thursday, January 5, 2017",1.00,$59.90,$13.44,$59.90,57,339,2,1800,4.2,34,23,8,1,5,2017,8.76,32560, $59.90 ,4.1, $19.73 , $59.90 ,4.2, $26.25 , $59.90 ,4.2, $13.44 , $59.90 
garden7,garden_tools,"Saturday, January 7, 2017",4.00,$239.60,$17.67,$59.90,57,339,2,1800,4.2,74,21,10,1,7,2017,8.71,32560, $59.90 ,4.1, $16.63 , $59.90 ,4.2, $16.11 , $59.90 ,4.1, $15.39 , $59.85 
garden7,garden_tools,"Sunday, January 8, 2017",6.00,$359.40,$16.26,$59.90,57,339,2,1800,4.2,113,23,8,1,8,2017,11.31,32560, $59.90 ,4.1, $18.16 , $59.90 ,4.2, $17.68 , $59.90 ,4.1, $18.05 , $59.90 
garden7,garden_tools,"Monday, January 9, 2017",5.00,$299.50,$16.78,$59.90,57,339,2,1800,4.2,115,21,9,1,9,2017,8.62,32560, $59.90 ,4.1, $17.19 , $59.90 ,4.2, $16.81 , $59.90 ,4.1, $16.29 , $59.90 
garden7,garden_tools,"Tuesday, January 10, 2017",11.00,$658.90,$14.81,$59.90,57,339,2,1800,4.2,146,22,9,2,10,2017,18.97,32560, $59.90 ,4.1, $18.07 , $59.90 ,4.2, $17.60 , $59.90 ,4.1, $16.81 , $59.90 
garden7,garden_tools,"Wednesday, January 11, 2017",20.00,"$1,043.60",$16.02,$51.32,57,339,2,1800,4.2,339,22,8,4,11,2017,34.48,32560, $52.41 ,4.1, $17.07 , $53.65 ,4.2, $16.08 , $53.79 ,4.1, $18.28 , $59.90 
garden7,garden_tools,"Thursday, January 12, 2017",10.00,$571.80,$18.10,$56.98,57,339,2,1800,4.2,184,21,10,1,12,2017,17.24,32560, $55.10 ,4.1, $15.76 , $55.43 ,4.2, $19.18 , $55.75 ,4.1, $17.27 , $51.32 
garden7,garden_tools,"Monday, January 1, 2018",11.00,$548.90,$21.98,$49.90,57,339,2,1800,4.2,137,23,8,2,1,2018,19.30,32560, $49.90 ,4.1, $19.50 , $49.90 ,4.2, $15.84 , $49.90 ,4.1, $16.51 , $56.98 
garden7,garden_tools,"Tuesday, January 2, 2018",8.00,$411.20,$14.08,$51.40,57,339,2,1800,4.2,160,20,8,2,2,2018,14.04,32560, $50.55 ,4.1, $16.61 , $50.90 ,4.2, $17.52 , $50.36 ,4.1, $18.28 , $49.90 
garden7,garden_tools,"Wednesday, January 3, 2018",3.00,$161.70,$21.35,$53.90,57,339,2,1800,4.2,116,22,9,1,3,2018,5.26,32560, $53.90 ,4.1, $20.36 , $53.90 ,4.2, $21.85 , $53.90 ,4.1, $19.02 , $51.40 
garden7,garden_tools,"Thursday, January 4, 2018",8.00,$431.20,$19.56,$53.90,57,339,2,1800,4.2,111,21,9,1,4,2018,7.88,32560, $53.90 ,4.1, $5.28 , $53.90 ,4.2, $19.47 , $53.90 ,4.1, $19.07 , $53.90 
garden7,garden_tools,"Friday, January 5, 2018",9.00,$477.10,$16.46,$52.90,57,339,2,1800,4.2,102,23,8,3,5,2018,8.76,32560, $53.42 ,4.1, $10.75 , $53.71 ,4.2, $13.51 , $53.06 ,4.1, $12.98 , $53.90 
garden7,garden_tools,"Saturday, January 6, 2018",5.00,$249.50,$23.12,$49.90,57,339,2,1800,4.2,58,21,9,0,6,2018,8.77,32560, $49.90 ,4.1, $19.89 , $49.90 ,4.2, $23.25 , $49.90 ,4.1, $22.88 , $52.90 
garden7,garden_tools,"Sunday, January 7, 2018",6.00,$299.40,$20.99,$49.90,57,339,2,1800,4.2,54,22,9,1,7,2018,8.71,32560, $49.91 ,4.1, $28.37 , $49.90 ,4.2, $33.28 , $49.90 ,4.1, $20.99 , $49.90 
garden7,garden_tools,"Monday, January 8, 2018",7.00,$349.30,$24.48,$49.90,57,339,2,1800,4.2,46,23,8,1,8,2018,11.31,32560, $49.91 ,4.1, $20.33 , $49.90 ,4.2, $36.44 , $49.90 ,4.1, $32.32 , $49.90 
health9,health_beauty,"Monday, January 2, 2017",11.00,$219.89,$11.75,$19.99,48,575,1,100,4.3,19,20,8,2,2,2017,14.94,4500, $19.99 ,4.3, $11.75 , $19.99 ,4.3, $11.75 , $64.99 ,3.9, $15.35 , $19.94 
health9,health_beauty,"Tuesday, January 3, 2017",9.00,$179.91,$13.82,$19.99,48,575,1,100,4.3,25,23,8,1,3,2017,9.14,4500, $19.99 ,4.3, $13.82 , $89.99 ,4.1, $13.02 , $64.99 ,3.9, $17.26 , $19.99 
health9,health_beauty,"Wednesday, January 4, 2017",13.00,$259.87,$18.04,$19.99,48,575,1,100,4.3,23,20,10,2,4,2017,5.78,4500, $19.99 ,4.3, $18.04 , $19.99 ,4.3, $18.04 , $64.99 ,3.9, $15.17 , $19.99 
health9,health_beauty,"Thursday, January 5, 2017",16.00,$319.84,$14.85,$19.99,48,575,1,100,4.3,41,23,8,1,5,2017,9.81,4500, $19.99 ,4.3, $14.85 , $89.99 ,4.1, $16.10 , $64.99 ,3.9, $14.81 , $19.99 
health9,health_beauty,"Friday, January 6, 2017",21.00,$419.79,$12.68,$19.99,48,575,1,100,4.3,53,22,8,1,6,2017,7.35,4500, $19.99 ,4.3, $12.68 , $89.99 ,4.1, $14.16 , $58.80 ,3.9, $13.90 , $19.99 
health9,health_beauty,"Saturday, January 7, 2017",29.00,$579.71,$11.14,$19.99,48,575,1,100,4.3,61,21,10,1,7,2017,9.12,4500, $19.99 ,4.3, $11.14 , $89.99 ,4.1, $12.12 , $59.26 ,3.9, $18.00 , $19.99 
health9,health_beauty,"Sunday, January 8, 2017",28.00,$651.72,$14.28,$23.40,48,575,1,100,4.3,82,23,8,1,8,2017,8.01,4500, $23.40 ,4.3, $14.28 , $89.99 ,4.1, $13.41 , $58.99 ,3.9, $16.24 , $19.99 
health9,health_beauty,"Monday, January 9, 2017",24.00,$575.76,$16.12,$23.99,48,575,1,100,4.3,89,21,9,1,9,2017,10.67,4500, $23.99 ,4.3, $16.12 , $89.99 ,4.1, $13.96 , $58.99 ,3.9, $15.64 , $23.40 
health9,health_beauty,"Tuesday, January 10, 2017",27.00,$647.73,$13.14,$23.99,48,575,1,100,4.3,81,22,9,2,10,2017,12.00,4500, $23.99 ,4.3, $13.14 , $89.99 ,4.1, $16.56 , $58.99 ,3.9, $19.07 , $23.99 
health9,health_beauty,"Wednesday, January 11, 2017",28.00,$671.72,$12.38,$23.99,48,575,1,100,4.3,139,22,8,4,11,2017,12.44,4500, $23.99 ,4.3, $12.38 , $89.99 ,4.1, $16.99 , $58.99 ,3.9, $15.71 , $23.99 
health9,health_beauty,"Thursday, January 12, 2017",19.00,$455.81,$12.46,$23.99,48,575,1,100,4.3,112,21,10,1,12,2017,8.44,4500, $23.99 ,4.3, $12.46 , $89.99 ,4.1, $15.89 , $58.99 ,3.9, $16.33 , $23.99 
health9,health_beauty,"Monday, January 1, 2018",19.00,$455.81,$11.29,$23.99,48,575,1,100,4.3,98,23,8,2,1,2018,33.93,4500, $23.99 ,4.3, $11.29 , $89.99 ,4.1, $14.81 , $58.99 ,3.9, $22.68 , $23.99 
health9,health_beauty,"Tuesday, January 2, 2018",14.00,$335.86,$12.55,$23.99,48,575,1,100,4.3,126,20,8,2,2,2018,14.94,4500, $23.99 ,4.3, $12.55 , $89.99 ,4.1, $16.31 , $58.99 ,3.9, $19.58 , $23.99 
health9,health_beauty,"Wednesday, January 3, 2018",8.00,$191.92,$14.20,$23.99,48,575,1,100,4.3,169,22,9,1,3,2018,9.14,4500, $23.99 ,4.3, $14.20 , $83.74 ,4.1, $11.88 , $58.99 ,3.9, $15.23 , $23.99 
health9,health_beauty,"Friday, January 5, 2018",7.00,$167.93,$7.99,$23.99,48,575,1,100,4.3,159,23,8,3,5,2018,9.81,4500, $23.99 ,4.3, $7.99 , $79.99 ,4.1, $21.94 , $58.99 ,3.9, $9.42 , $23.94 
health9,health_beauty,"Saturday, January 6, 2018",3.00,$71.97,$16.27,$23.99,48,575,1,100,4.3,131,21,9,0,6,2018,7.35,4500, $23.99 ,4.3, $16.27 , $79.99 ,4.1, $13.36 , $58.99 ,3.9, $16.43 , $23.99 
health9,health_beauty,"Sunday, January 7, 2018",3.00,$71.97,$18.81,$23.99,48,575,1,100,4.3,113,22,9,1,7,2018,9.12,4500, $23.99 ,4.3, $18.81 , $79.99 ,4.1, $16.75 , $58.99 ,3.9, $7.67 , $23.99 
health9,health_beauty,"Monday, January 8, 2018",2.00,$47.98,$16.77,$23.99,48,575,1,100,4.3,127,23,8,1,8,2018,8.01,4500, $23.99 ,4.3, $16.77 , $82.82 ,4.1, $12.42 , $58.99 ,3.9, $12.08 , $23.99 
cool4,cool_stuff,"Saturday, January 7, 2017",1.00,$134.99,$15.70,$134.99,40,1456,1,2425,3.8,42,21,10,1,7,2017,1.43,16530, $99.99 ,4.2, $16.53 , $129.99 ,4.3, $18.72 , $134.99 ,3.8, $15.70 , $134.94 
cool4,cool_stuff,"Sunday, January 8, 2017",1.00,$134.99,$15.70,$134.99,40,1456,1,2425,3.8,39,23,8,1,8,2017,1.43,16530, $99.99 ,4.2, $18.98 , $116.93 ,4.3, $19.02 , $134.99 ,3.8, $15.70 , $134.99 
cool4,cool_stuff,"Tuesday, January 10, 2017",12.00,"$1,763.88",$18.76,$146.99,40,1456,1,2425,3.8,33,22,9,2,10,2017,17.14,16530, $99.99 ,4.2, $16.95 , $119.99 ,4.3, $20.00 , $146.99 ,3.8, $18.76 , $146.94 
cool4,cool_stuff,"Wednesday, January 11, 2017",27.00,"$4,248.73",$20.84,$157.36,40,1456,1,2425,3.8,42,22,8,4,11,2017,38.57,16530, $99.99 ,4.2, $16.19 , $129.99 ,4.3, $22.67 , $157.36 ,3.8, $20.84 , $146.99 
cool4,cool_stuff,"Thursday, January 12, 2017",29.00,"$4,842.71",$24.47,$166.99,40,1456,1,2425,3.8,38,21,10,1,12,2017,41.43,16530, $99.99 ,4.2, $15.27 , $129.99 ,4.3, $25.59 , $166.99 ,3.8, $24.47 , $157.36 
cool4,cool_stuff,"Monday, January 1, 2018",13.00,"$2,170.87",$25.29,$166.99,40,1456,1,2425,3.8,102,23,8,2,1,2018,34.21,16530, $99.99 ,4.2, $16.54 , $129.99 ,4.3, $17.41 , $29.50 ,4.4, $16.53 , $166.99 
cool4,cool_stuff,"Tuesday, January 2, 2018",8.00,"$1,415.92",$22.88,$176.99,40,1456,1,2425,3.8,20,20,8,2,2,2018,21.05,16530, $99.99 ,4.2, $13.72 , $129.99 ,4.3, $16.71 , $176.99 ,3.8, $22.88 , $166.99 
cool4,cool_stuff,"Wednesday, January 3, 2018",11.00,"$1,911.89",$23.95,$173.81,40,1456,1,2425,3.8,45,22,9,1,3,2018,28.95,16530, $99.99 ,4.2, $20.78 , $129.99 ,4.3, $18.49 , $35.00 ,4.4, $16.26 , $176.99 
cool4,cool_stuff,"Thursday, January 4, 2018",6.00,"$1,019.94",$24.88,$169.99,40,1456,1,2425,3.8,18,21,9,1,4,2018,15.79,16530, $89.86 ,4.2, $19.88 , $129.99 ,4.3, $23.49 , $35.00 ,4.4, $14.85 , $173.81 
health3,health_beauty,"Monday, January 1, 2018",1.00,$110.99,$44.63,$110.99,50,1257,1,700,4.1,98,23,8,2,1,2018,0.64,5700, $23.99 ,4.3, $11.29 , $89.99 ,4.1, $14.81 , $58.99 ,3.9, $22.68 , $110.94 
health3,health_beauty,"Tuesday, January 2, 2018",2.00,$221.98,$20.55,$110.99,50,1257,1,700,4.1,126,20,8,2,2,2018,1.28,5700, $23.99 ,4.3, $12.55 , $89.99 ,4.1, $16.31 , $58.99 ,3.9, $19.58 , $110.99 
health3,health_beauty,"Wednesday, January 3, 2018",9.00,$998.91,$38.19,$110.99,50,1257,1,700,4.1,169,22,9,1,3,2018,5.77,5700, $23.99 ,4.3, $14.20 , $83.74 ,4.1, $11.88 , $58.99 ,3.9, $15.23 , $110.99 
health3,health_beauty,"Thursday, January 4, 2018",13.00,"$1,514.87",$37.09,$116.53,50,1257,1,700,4.1,118,21,9,1,4,2018,8.33,5700, $116.53 ,4.1, $37.09 , $79.99 ,4.1, $14.49 , $58.99 ,3.9, $16.30 , $110.99 
health3,health_beauty,"Friday, January 5, 2018",23.00,"$2,759.77",$31.58,$119.99,50,1257,1,700,4.1,159,23,8,3,5,2018,14.74,5700, $23.99 ,4.3, $7.99 , $79.99 ,4.1, $21.94 , $58.99 ,3.9, $9.42 , $116.53 
health3,health_beauty,"Saturday, January 6, 2018",43.00,"$5,288.57",$35.52,$122.99,50,1257,1,700,4.1,131,21,9,0,6,2018,27.56,5700, $23.99 ,4.3, $16.27 , $79.99 ,4.1, $13.36 , $58.99 ,3.9, $16.43 , $119.99 
health3,health_beauty,"Sunday, January 7, 2018",33.00,"$4,058.67",$33.01,$122.99,50,1257,1,700,4.1,113,22,9,1,7,2018,21.15,5700, $23.99 ,4.3, $18.81 , $79.99 ,4.1, $16.75 , $58.99 ,3.9, $7.67 , $122.99 
health3,health_beauty,"Monday, January 8, 2018",32.00,"$3,935.68",$36.94,$122.99,50,1257,1,700,4.1,127,23,8,1,8,2018,20.51,5700, $23.99 ,4.3, $16.77 , $82.82 ,4.1, $12.42 , $58.99 ,3.9, $12.08 , $122.99 
perfumery1,perfumery,"Friday, January 6, 2017",4.00,$227.96,$18.45,$56.99,54,1536,2,250,4.3,4,22,8,1,6,2017,4.17,3360, $56.99 ,4.3, $18.45 , $56.99 ,4.3, $18.45 , $56.99 ,4.3, $18.45 , $56.94 
perfumery1,perfumery,"Saturday, January 7, 2017",7.00,$398.93,$11.75,$56.99,54,1536,2,250,4.3,7,21,10,1,7,2017,13.17,3360, $56.99 ,4.3, $11.75 , $56.99 ,4.3, $11.75 , $56.99 ,4.3, $11.75 , $56.99 
perfumery1,perfumery,"Sunday, January 8, 2017",7.00,$398.93,$13.59,$56.99,54,1536,2,250,4.3,8,23,8,1,8,2017,8.41,3360, $56.99 ,4.3, $13.59 , $142.50 ,4.4, $15.75 , $56.99 ,4.3, $13.59 , $56.99 
perfumery1,perfumery,"Monday, January 9, 2017",17.00,$968.83,$13.74,$56.99,54,1536,2,250,4.3,18,21,9,1,9,2017,17.71,3360, $56.99 ,4.3, $13.74 , $142.50 ,4.4, $9.19 , $56.99 ,4.3, $13.74 , $56.99 
perfumery1,perfumery,"Tuesday, January 10, 2017",17.00,$968.83,$12.29,$56.99,54,1536,2,250,4.3,19,22,9,2,10,2017,17.71,3360, $56.99 ,4.3, $12.29 , $142.50 ,4.4, $17.15 , $56.99 ,4.3, $12.29 , $56.99 
perfumery1,perfumery,"Wednesday, January 11, 2017",20.00,"$1,139.80",$12.71,$56.99,54,1536,2,250,4.3,27,22,8,4,11,2017,20.83,3360, $56.99 ,4.3, $12.71 , $118.05 ,4.4, $14.29 , $56.99 ,4.3, $12.71 , $56.99 
perfumery1,perfumery,"Thursday, January 12, 2017",24.00,"$1,367.76",$13.82,$56.99,54,1536,2,250,4.3,34,21,10,1,12,2017,25.00,3360, $56.99 ,4.3, $13.82 , $118.00 ,4.4, $11.03 , $56.99 ,4.3, $13.82 , $56.99 
perfumery1,perfumery,"Monday, January 1, 2018",10.00,$569.90,$12.22,$56.99,54,1536,2,250,4.3,15,23,8,2,1,2018,23.81,3360, $56.99 ,4.3, $12.22 , $117.90 ,4.4, $14.04 , $56.99 ,4.3, $12.22 , $56.99 
perfumery1,perfumery,"Tuesday, January 2, 2018",4.00,$227.96,$14.56,$56.99,54,1536,2,250,4.3,12,20,8,2,2,2018,9.52,3360, $56.99 ,4.3, $14.56 , $117.89 ,4.4, $13.88 , $56.99 ,4.3, $14.56 , $56.99 
